x,y
Switch on,1
Turn on,1
Activate,1
Power on,1
Enable,1
Start,1
Ignite,1
Boot up,1
Light up,1
Set in motion,1
Initiate,1
Engage,1
Open,1
Launch,1
Begin,1
Operate,1
Trigger,1
Make active,1
Energize,1
Set off,1
Put into operation,1
Set to work,1
Flip on,1
Spark,1
Kindle,1
Put into action,1
Rev up,1
Crank up,1
Commence,1
Jumpstart,1
Set ablaze,1
Get going,1
Start up,1
Fire up,1
Switch on the power,1
Turn the switch on,1
Hit the power button,1
Flip the switch,1
Activate the device,1
Turn the lights on,1
Turn on the appliance,1
Engage the machine,1
Set the system on,1
Kick start,1
Turn on the mechanism,1
Start the engine,1
Activate the equipment,1
Power up,1
Light the fire,1
Set the gadget on,1
Get started,1
Set going,1
Turn the dial to on,1
Press the on button,1
Activate the circuit,1
Bring to life,1
Turn on the system,1
Set alight,1
Light the lamp,1
Start the motor,1
Fire the system up,1
Turn on the ignition,1
Engage the gears,1
Set in action,1
Power on the device,1
Start the appliance,1
Ignite the flame,1
Set the apparatus on,1
Activate the function,1
Turn on the feature,1
Begin operation,1
Open the system,1
Start the program,1
Turn on the control,1
Set off the device,1
Start the mechanism,1
Activate the machinery,1
Switch on the light,1
Turn the machine on,1
Kick into gear,1
Turn on the gadget,1
Start the process,1
Ignite the system,1
Light the burner,1
Turn on the heat,1
Activate the lamp,1
Power the machine on,1
Set the engine running,1
Get the system on,1
Turn the appliance on,1
Start the lamp,1
Fire the engine up,1
Light the torch,1
Activate the controls,1
Switch the machine on,1
Turn the power on,1
Set the light on,1
Turn the dial on,1
Engage the power,1
Start the machine,1
Turn the system on,1
Switch the appliance on,1
Light the light,1
Activate the device,1
Turn on the function,1
Start the light,1
Power the device on,1
Light the system,1
Turn the system running,1
Start the gadget,1
Engage the feature,1
Turn the light switch on,1
Ignite the device,1
Fire the machine up,1
Set the power on,1
Turn the switch on the appliance,1
Start the equipment,1
Turn on the control system,1
Ignite the system function,1
Switch the device on,1
Power the system,1
Turn the function on,1
Light the equipment,1
Activate the power,1
Start the system running,1
Engage the lamp,1
Turn on the feature,1
Ignite the lamp function,1
Switch the function on,1
Set the light function on,1
Turn on the machine power,1
Fire up the device,1
Start the control system,1
Turn on the lamp power,1
Engage the function system,1
Turn on the system function,1
Power up the machine,1
Turn on the light system,1
Set the device function on,1
Start the feature,1
Turn on the power system,1
Switch on the control,1
Engage the device function,1
Start the power system,1
Turn on the light feature,1
Ignite the power system,1
Fire up the control system,1
Light the power feature,1
Switch on the function system,1
Set the system power on,1
Engage the lamp system,1
Turn on the control feature,1
Power the device function,1
Turn on the light power system,1
Start the machine function,1
Fire up the system feature,1
Turn on the control lamp,1
Engage the feature system,1
Turn on the light device,1
Ignite the machine system,1
Switch on the feature power,1
Start the system device,1
Turn on the machine lamp,1
Set the feature power system,1
Turn on the lamp device,1
Engage the power feature,1
Turn on the machine control,1
Fire up the device system,1
Switch on the lamp function,1
Power up the system device,1
Turn on the feature lamp,1
Light the device system,1
Turn on the lamp control,1
Start the device feature,1
Engage the system power,1
Turn on the control feature,1
Fire up the lamp device,1
Switch on the system power,1
Set the control lamp on,1
Turn on the power lamp,1
Ignite the device feature,1
Start the system control,1
Turn on the lamp feature,1
Power up the function device,1
Turn on the system device,1
Switch on the feature lamp,1
Engage the device control,1
Turn on the power feature,1
Fire up the control device,1
Start the feature system,1
Turn on the lamp power system,1
Set the device function power,1
Turn on the control system device,1
Ignite the power function system,1
Switch on the device lamp,1
Start the system lamp function,1
Turn on the feature control,1
Engage the device power system,1
Turn on the machine feature power,1
Fire up the light control system,1
Switch off,2
Turn off,2
Deactivate,2
Power off,2
Disable,2
Stop,2
Extinguish,2
Shut down,2
Cut off,2
Terminate,2
Disengage,2
Close,2
End,2
Cease,2
Halt,2
Disconnect,2
Turn out,2
Kill,2
Silence,2
Cut the power,2
Put out,2
Block,2
Suspend,2
Wind down,2
Douse,2
Put to rest,2
Unplug,2
Break off,2
Shut off,2
Snuff out,2
Power down,2
Turn the power off,2
Hit the off button,2
Flip the switch off,2
Deactivate the device,2
Turn the lights off,2
Turn off the appliance,2
Disengage the machine,2
Set the system off,2
Cut the power supply,2
Switch off the mechanism,2
Stop the engine,2
Deactivate the equipment,2
Power off the device,2
Extinguish the fire,2
Set the gadget off,2
Come to a halt,2
Set off,2
Turn the dial to off,2
Press the off button,2
Deactivate the circuit,2
Shut off the system,2
Snuff the light,2
Stop the motor,2
Power the system down,2
Turn off the ignition,2
Disengage the gears,2
Set in action,2
Power off the device,2
Stop the appliance,2
Extinguish the flame,2
Set the apparatus off,2
Deactivate the function,2
Turn off the feature,2
End operation,2
Close the system,2
Stop the program,2
Turn off the control,2
Set off the device,2
Stop the mechanism,2
Deactivate the machinery,2
Switch off the light,2
Turn the machine off,2
Power down the device,2
Turn off the gadget,2
Stop the process,2
Extinguish the system,2
Snuff the burner,2
Turn off the heat,2
Deactivate the lamp,2
Power the machine off,2
Set the engine stopping,2
Get the system off,2
Turn the appliance off,2
Stop the lamp,2
Turn off the system,2
Extinguish the torch,2
Deactivate the controls,2
Switch the machine off,2
Turn the power off,2
Set the light off,2
Turn the dial off,2
Disengage the power,2
Stop the machine,2
Turn the system off,2
Switch the appliance off,2
Snuff the light,2
Deactivate the device,2
Turn off the function,2
Stop the light,2
Power the device off,2
Snuff the system,2
Turn the system stopping,2
Stop the gadget,2
Disengage the feature,2
Turn the light switch off,2
Extinguish the device,2
Turn the machine off,2
Set the power off,2
Turn the switch off the appliance,2
Stop the equipment,2
Turn off the control system,2
Extinguish the system function,2
Switch the device off,2
Power the system,2
Turn the function off,2
Snuff the equipment,2
Deactivate the power,2
Stop the system stopping,2
Disengage the lamp,2
Turn off the feature,2
Extinguish the lamp function,2
Switch the function off,2
Set the light function off,2
Turn off the machine power,2
Turn off the device,2
Stop the control system,2
Turn off the lamp power,2
Disengage the function system,2
Turn off the system function,2
Power down the machine,2
Turn off the light system,2
Set the device function off,2
Stop the feature,2
Turn off the power system,2
Switch off the control,2
Disengage the device function,2
Stop the power system,2
Turn off the light feature,2
Extinguish the power system,2
Turn off the control system,2
Snuff the power feature,2
Switch off the function system,2
Set the system power off,2
Disengage the lamp system,2
Turn off the control feature,2
Power the device function,2
Turn off the light power system,2
Stop the machine function,2
Turn off the system feature,2
Turn off the control lamp,2
Disengage the feature system,2
Turn off the light device,2
Extinguish the machine system,2
Switch off the feature power,2
Stop the system device,2
Turn off the machine lamp,2
Set the feature power system off,2
Turn off the lamp device,2
Disengage the power feature,2
Turn off the machine control,2
Turn the device system off,2
Switch off the lamp function,2
Power down the system device,2
Turn off the feature lamp,2
Snuff the device system,2
Turn off the lamp control,2
Stop the device feature,2
Disengage the system power,2
Turn off the control feature,2
Turn off the lamp device,2
Switch off the system power,2
Set the control lamp off,2
Turn off the power lamp,2
Extinguish the device feature,2
Stop the system control,2
Turn off the lamp feature,2
Power down the function device,2
Turn off the system device,2
Switch off the feature lamp,2
Disengage the device control,2
Turn off the power feature,2
Turn off the control device,2
Stop the feature system,2
Turn off the lamp power system,2
Set the device function power off,2
Turn off the control system device,2
Extinguish the power function system,2
Switch off the device lamp,2
Stop the system lamp function,2
Turn off the feature control,2
Disengage the device power system,2
Turn off the machine feature power,2
Turn off the light control system,2
Switch off the function power,2
Stop the system device function,2
Turn off the control lamp system,2
Disengage the device power function,2
Turn off the machine power function,2
Extinguish the control system device,2
Go straight down the road,3
Proceed in a straight line,3
Move forward without turning,3
Continue straight ahead on this path,3
Head directly down the street,3
Stay on the straight and narrow,3
Travel straight without any deviations,3
Follow the route in a straight line,3
Maintain your course straight ahead,3
Move as far as you can see,3
Proceed straight along the way,3
Move on the direct path,3
Keep on the direct path,3
Continue forward without making any turns,3
Head straight toward your destination,3
Stay on the unswerving route,3
Move straight along the trail,3
Follow the road without turning left or right,3
Go ahead without veering off course,3
Move on the straight and clear route,3
Continue in a straight trajectory,3
Head straight down the avenue,3
Stay true to the straight path,3
Move directly towards your goal,3
Move on the straight route,3
Proceed straightforwardly,3
Go straight on this thoroughfare,3
Continue along the straight road,3
Head straight down the boulevard,3
Follow the straight line on the map,3
Move in a straight line without deviation,3
Stay on the direct course,3
Go straight down the corridor,3
Proceed straight through the intersection,3
Move straight ahead without hesitation,3
Keep to the straight and clear road,3
Follow the unbroken line ahead,3
Maintain your course without deviations,3
Move straight with confidence,3
Continue in a straight line without interruptions,3
Head straight through the city,3
