command,action,code,,,,,,
Go straight down the road,forward,3,,,,,,
Proceed in a straight line,forward,3,,,,labels,,
Move forward without turning,forward,3,,,,on,1,36
Continue straight ahead on this path,forward,3,,,,off,2,36
Head directly down the street,forward,3,,,,forward,3,139
Stay on the straight and narrow,forward,3,,,,back,4,114
Travel straight without any deviations,forward,3,,,,left,5,107
Follow the route in a straight line,forward,3,,,,right,6,107
Maintain your course straight ahead,forward,3,,,,stop,7,6
Move as far as you can see,forward,3,,,,speed_up,8,11
Proceed straight along the way,forward,3,,,,slow_down,9,4
Move on the direct path,forward,3,,,,slight_left,10,6
Keep on the direct path,forward,3,,,,slight_right,11,1
Continue forward without making any turns,forward,3,,,,turn_on_lights,12,2
Head straight toward your destination,forward,3,,,,turn_off_lights,13,8
Stay on the unswerving route,forward,3,,,,u-turn,14,5
Move straight along the trail,forward,3,,,,don’t_forward,15,94
Follow the road without turning left or right,forward,3,,,,don’t_back,16,100
Go ahead without veering off course,forward,3,,,,don’t_left,17,100
Move on the straight and clear route,forward,3,,,,don’t_right,18,100
Continue in a straight trajectory,forward,3,,,,,,
Head straight down the avenue,forward,3,,,,,,
Stay true to the straight path,forward,3,,,,,,976
Move directly towards your goal,forward,3,,,,,,
Move on the straight route,forward,3,,,,,,
Proceed straightforwardly,forward,3,,,,,,
Go straight on this thoroughfare,forward,3,,,,,,
Continue along the straight road,forward,3,,,,,,
Head straight down the boulevard,forward,3,,,,,,
Follow the straight line on the map,forward,3,,,,,,
Move in a straight line without deviation,forward,3,,,,,,
Stay on the direct course,forward,3,,,,,,
Go straight down the corridor,forward,3,,,,,,
Proceed straight through the intersection,forward,3,,,,,,
Move straight ahead without hesitation,forward,3,,,,,,
Keep to the straight and clear road,forward,3,,,,,,
Follow the unbroken line ahead,forward,3,,,,,,
Maintain your course without deviations,forward,3,,,,,,
Move straight with confidence,forward,3,,,,,,
Continue in a straight line without interruptions,forward,3,,,,,,
Head straight through the city,forward,3,,,,,,
Stay on the straightforward route,forward,3,,,,,,
Move directly towards the goal,forward,3,,,,,,
Go straight past the landmarks,forward,3,,,,,,
Proceed straight through the urban landscape,forward,3,,,,,,
Move forward without turning aside,forward,3,,,,,,
Follow the straight trail ahead,forward,3,,,,,,
Head straight across the bridge,forward,3,,,,,,
Stay on the clear path without turning,forward,3,,,,,,
Move in a straight line through the park,forward,3,,,,,,
Continue in a straight trajectory,forward,3,,,,,,
Go straight past the crossroads,forward,3,,,,,,
Maintain a direct course,forward,3,,,,,,
Head straight through the neighborhood,forward,3,,,,,,
Stay true to the straight road,forward,3,,,,,,
Move directly along the established route,forward,3,,,,,,
Follow the unswerving path,forward,3,,,,,,
Go ahead without veering off the straight line,forward,3,,,,,,
Keep on the undeviating course,forward,3,,,,,,
Proceed straight along the riverbank,forward,3,,,,,,
Move directly through the woods,forward,3,,,,,,
Continue straight without distractions,forward,3,,,,,,
Head straight past the landmarks,forward,3,,,,,,
Stay on the direct route without deviation,forward,3,,,,,,
Move straightforwardly through the countryside,forward,3,,,,,,
Go straight towards the mountain,forward,3,,,,,,
Keep on the straight and narrow path,forward,3,,,,,,
Follow the straight line on the horizon,forward,3,,,,,,
Head directly to the coastline,forward,3,,,,,,
Stay on the straight highway,forward,3,,,,,,
Move in a straight line through the desert,forward,3,,,,,,
Continue straight across the plains,forward,3,,, ,,,
Go ahead without turning in any direction,forward,3,,,,,,
Keep to the unswerving trail,forward,3,,,,,,
Proceed straight along the beach,forward,3,,,,,,
Head straight through the canyon,forward,3,,,,,,
Stay true to the straight street,forward,3,,,,,,
Move directly through the valley,forward,3,,,,,,
Go straight under the clear sky,forward,3,,,,,,
Keep on the straight course through the forest,forward,3,,,,,,
Follow the unbroken line on the map,forward,3,,,,,,
Maintain your course straight ahead,forward,3,,,,,,
Move directly along the river,forward,3,,,,,,
Continue straight across the meadow,forward,3,,,,,,
Head straight through the wilderness,forward,3,,,,,,
Stay on the direct path to your destination,forward,3,,,,,,
Go straight along the seashore,forward,3,,,,,,
Proceed straightforwardly through the hills,forward,3,,,,,,
Move forward without detours,forward,3,,,,,,
Follow the straight track through the city,forward,3,,,,,,
Head straight past the fields,forward,3,,,,,,
Stay on the straight road through the countryside,forward,3,,,,,,
Move directly along the railway tracks,forward,3,,,,,,
Go straight to your final destination,forward,3,,,,,,
Retreat,back,4,,,,,,
Move rearward,back,4,,,,,,
Go in reverse,back,4,,,,,,
Backtrack,back,4,,,,,,
Reverse your direction,back,4,,,,,,
Withdraw,back,4,,,,,,
Step back,back,4,,,,,,
Regress,back,4,,,,,,
Move in a backward motion,back,4,,,,,,
Take a step back,back,4,,,,,,
Go backward,back,4,,,,,,
Shift to the rear,back,4,,,,,,
Reverse course,back,4,,,,,,
Retreat backward,back,4,,,,,,
Move away from the front,back,4,,,,,,
Move in the opposite direction,back,4,,,,,,
Step in reverse,back,4,,,,,,
Withdrawal,back,4,,,,,,
Move towards the rear,back,4,,,,,,
Back away,back,4,,,,,,
Go in a backward trajectory,back,4,,,,,,
Move back from your current position,back,4,,,,,,
Go rearward,back,4,,,,,,
Fall back,back,4,,,,,,
Retrace your steps,back,4,,,,,,
Move towards the back,back,4,,,,,,
Draw back,back,4,,,,,,
Recede,back,4,,,,,,
Take a backward step,back,4,,,,,,
Move back along the path,back,4,,,,,,
