,x,y
0,switch on,1
1,turn on,1
2,activate,1
3,power on,1
4,enable,1
5,start,1
6,ignite,1
7,boot up,1
8,light up,1
9,set in motion,1
10,initiate,1
11,engage,1
12,open,1
13,launch,1
14,begin,1
15,operate,1
16,trigger,1
17,make active,1
18,energize,1
19,set off,1
20,put into operation,1
21,set to work,1
22,flip on,1
23,spark,1
24,kindle,1
25,put into action,1
26,rev up,1
27,crank up,1
28,commence,1
29,jumpstart,1
30,set ablaze,1
31,get going,1
32,start up,1
33,fire up,1
34,switch on the power,1
35,turn the switch on,1
36,hit the power button,1
37,flip the switch,1
38,activate the device,1
39,turn the lights on,1
40,turn on the appliance,1
41,engage the machine,1
42,set the system on,1
43,kick start,1
44,turn on the mechanism,1
45,start the engine,1
46,activate the equipment,1
47,power up,1
48,light the fire,1
49,set the gadget on,1
50,get started,1
51,set going,1
52,turn the dial to on,1
53,press the on button,1
54,activate the circuit,1
55,bring to life,1
56,turn on the system,1
57,set alight,1
58,light the lamp,1
59,start the motor,1
60,fire the system up,1
61,turn on the ignition,1
62,engage the gears,1
63,set in action,1
64,power on the device,1
65,start the appliance,1
66,ignite the flame,1
67,set the apparatus on,1
68,activate the function,1
69,turn on the feature,1
70,begin operation,1
71,open the system,1
72,start the program,1
73,turn on the control,1
74,set off the device,1
75,start the mechanism,1
76,activate the machinery,1
77,switch on the light,1
78,turn the machine on,1
79,kick into gear,1
80,turn on the gadget,1
81,start the process,1
82,ignite the system,1
83,light the burner,1
84,turn on the heat,1
85,activate the lamp,1
86,power the machine on,1
87,set the engine running,1
88,get the system on,1
89,turn the appliance on,1
90,start the lamp,1
91,fire the engine up,1
92,light the torch,1
93,activate the controls,1
94,switch the machine on,1
95,turn the power on,1
96,set the light on,1
97,turn the dial on,1
98,engage the power,1
99,start the machine,1
100,turn the system on,1
101,switch the appliance on,1
102,light the light,1
103,activate the device,1
104,turn on the function,1
105,start the light,1
106,power the device on,1
107,light the system,1
108,turn the system running,1
109,start the gadget,1
110,engage the feature,1
111,turn the light switch on,1
112,ignite the device,1
113,fire the machine up,1
114,set the power on,1
115,turn the switch on the appliance,1
116,start the equipment,1
117,turn on the control system,1
118,ignite the system function,1
119,switch the device on,1
120,power the system,1
121,turn the function on,1
122,light the equipment,1
123,activate the power,1
124,start the system running,1
125,engage the lamp,1
126,turn on the feature,1
127,ignite the lamp function,1
128,switch the function on,1
129,set the light function on,1
130,turn on the machine power,1
131,fire up the device,1
132,start the control system,1
133,turn on the lamp power,1
134,engage the function system,1
135,turn on the system function,1
136,power up the machine,1
137,turn on the light system,1
138,set the device function on,1
139,start the feature,1
140,turn on the power system,1
141,switch on the control,1
142,engage the device function,1
143,start the power system,1
144,turn on the light feature,1
145,ignite the power system,1
146,fire up the control system,1
147,light the power feature,1
148,switch on the function system,1
149,set the system power on,1
150,engage the lamp system,1
151,turn on the control feature,1
152,power the device function,1
153,turn on the light power system,1
154,start the machine function,1
155,fire up the system feature,1
156,turn on the control lamp,1
157,engage the feature system,1
158,turn on the light device,1
159,ignite the machine system,1
160,switch on the feature power,1
161,start the system device,1
162,turn on the machine lamp,1
163,set the feature power system,1
164,turn on the lamp device,1
165,engage the power feature,1
166,turn on the machine control,1
167,fire up the device system,1
168,switch on the lamp function,1
169,power up the system device,1
170,turn on the feature lamp,1
